Haulers Name,Plate Number,Delivery Date,Shipment Number,Route,Drops,Type,Delivery Checklist #,Delivery Rates,Billing Date,Payout Date
CARPINOY LOGISTICS SERVICES,NKD 8241,"Friday, November 15, 2024",374365,MUNTINLUPA (CITYSUPER ALABANG INC.),1,dry,288008,"3,480",25-Nov-2024,20-Dec-2024
CARPINOY LOGISTICS SERVICES,NKD 8241,"Wednesday, November 20, 2024",375827,CUBAO (RE FARMERS ARANETA CUBAO + FARMERS FOOD STORE 1ST DROP),2,dry,288658,"4,200",25-Nov-2024,20-Dec-2024
CARPINOY LOGISTICS SERVICES,NKD8241,"Friday, November 22, 2024",376651,MANDALUYONG 9PUREGOLD MINIMART - BARRANCA + PUREGOLD MINIMART - PRIMO CRUZ MINIMART + SANFORD -FAME MALL + RE BONI + RE N. DOMINGO),3,dry,289045,"4,056",2-Dec-2024,20-Dec-2024
CARPINOY LOGISTICS SERVICES,NKD8241,"Saturday, November 23, 2024",377251,FAIRVIEW (EVERPLUS - ROCES + EVERPLUS - PEARL DRIVE),3,dry,289259,"4,336",2-Dec-2024,20-Dec-2024
CARPINOY LOGISTICS SERVICES,NKD 8241,"Tuesday, November 26, 2024",378004,PROJECT 8,4,dry,289696,"4,336",2-Dec-2024,20-Dec-2024
CARPINOY LOGISTICS SERVICES,NKD 8241,"Wednesday, November 27, 2024",378854,MANILA,1,dry,289876,"4,056",2-Dec-2024,20-Dec-2024
CARPINOY LOGISTICS SERVICES,NKD 8241,"Thursday, November 28, 2024",378935,NOVALICHES (SANFORD -BANAWE + SANFORD -PROJECT 8 + RE AURORA ESCALADES + NOVALICHES FOOD STORE KINGSPOINT 1ST DROP),4,dry,290041,"4,336",2-Dec-2024,20-Dec-2024
CARPINOY LOGISTICS SERVICES,NKD 8241,"Friday, November 29, 2024",379408,WEST TRIANGLE (PUREGOLD JR - MOTHER IGNACIA + PUREGOLD JR - WEST AVENUE STRIPMALL + PUREGOLD JR - TIMOG),3,dry,290304,"4,336",9-Dec-2024,11-Jan-2025
CARPINOY LOGISTICS SERVICES,NKD 8241,"Tuesday, December 3, 2024",380989,PROJECT 8,4,dry,290923,"4,336",9-Dec-2024,11-Jan-2025
CARPINOY LOGISTICS SERVICES,NKD 8241,"Wednesday, December 4, 2024",381611,"MANILA (LANDERS SUPERSTORE - OTIS + GAGALANGIN ""TONDO"" FOOD STORE 1ST DROP)",2,dry,291113,"4,056",9-Dec-2024,11-Jan-2025
CARPINOY LOGISTICS SERVICES,NKD 8241,"Thursday, December 5, 2024",381892,P. TAMO (SANFORD -P. TUAZON+SANFORD -VISAYAS+SANFORD -PROJECT 8),3,dry,291264,"4,376",9-Dec-2024,11-Jan-2025
CARPINOY LOGISTICS SERVICES,NKD 8241,"Saturday, November 30, 2024",380200,"STA MESA HTS (EVERPLUS - RETIRO + FARMERS FOOD STORE + DEL MONTE AVE., FOOD STORE 1ST DROP)",3,dry,290528,"4,336",23-Dec-2024,22-Jan-2025
CARPINOY LOGISTICS SERVICES,NKD 8241,"Friday, December 6, 2024",382700,MANILA,2,dry,291551,"4,056",23-Dec-2024,22-Jan-2025
CARPINOY LOGISTICS SERVICES,NKD 8241,"Saturday, December 7, 2024",383214,MANILA,2,dry,291743,"4,056",23-Dec-2024,22-Jan-2025
CARPINOY LOGISTICS SERVICES,NKD 8241,"Wednesday, December 11, 2024",385017,TAGUIG,1,dry,292355,"3,912",23-Dec-2024,22-Jan-2025
CARPINOY LOGISTICS SERVICES,NKD 8241,"Thursday, December 12, 2024",385180,TAGUIG,2,dry,292557,"3,912",23-Dec-2024,22-Jan-2025
CARPINOY LOGISTICS SERVICES,NKD 8241,"Friday, December 13, 2024",385776,CALAUAN,3,dry,292809,"3,112",23-Dec-2024,22-Jan-2025
CARPINOY LOGISTICS SERVICES,NKD 8241,"Saturday, December 14, 2024",386684,DASMARINAS,1,dry,293017,"3,416",23-Dec-2024,22-Jan-2025
CARPINOY LOGISTICS SERVICES,NKD 8241,"Tuesday, December 17, 2024",387429,SAN MATEO R,2,dry,293360,"4,280",23-Dec-2024,22-Jan-2025
CARPINOY LOGISTICS SERVICES,NKD 8241,"Wednesday, December 18, 2024",387703,DASMARINAS,1,dry,293580,"3,416",23-Dec-2024,22-Jan-2025
CARPINOY LOGISTICS SERVICES,NKD 8241,"Thursday, December 19, 2024",388779,MANILA,2,dry,293827,"4,056",13-Jan-2025,7-Feb-2025
CARPINOY LOGISTICS SERVICES,NKD 8241,"Saturday, December 20, 2025",388978,SAN MATEO R,1,dry,294024,"4,280",13-Jan-2025,7-Feb-2025
CARPINOY LOGISTICS SERVICES,NKD 8241,"Sunday, December 21, 2025",389995,BACOOR,2,dry,294246,"3,600",13-Jan-2025,7-Feb-2025
CARPINOY LOGISTICS SERVICES,NKD 8241,"Saturday, December 27, 2025",391798,CABUYAO,3,dry,295042,"2,968",13-Jan-2025,7-Feb-2025
CARPINOY LOGISTICS SERVICES,NKD 8241,"Sunday, December 28, 2025",392504,TANAY,2,dry,295255,"4,624",13-Jan-2025,7-Feb-2025
CARPINOY LOGISTICS SERVICES,NKF2295,"Friday, December 26, 2025",391260,IMUS (RESCUE TRIP),4,dry,294853,"3,688",3-Feb-2025,1-Mar-2025
CARPINOY LOGISTICS SERVICES,NKD 8241,"Friday, December 26, 2025",391274,LUCENA,3,dry,294822,"3,544",3-Feb-2025,1-Mar-2025
CARPINOY LOGISTICS SERVICES,NKD 8241,"Tuesday, January 7, 2025",394863,MONTALBAN,2,dry,296010,"4,456",3-Feb-2025,1-Mar-2025
CARPINOY LOGISTICS SERVICES,NKD 8241,"Wednesday, January 8, 2025",394968,IMUS,2,dry,296141,"3,688",3-Feb-2025,1-Mar-2025
CARPINOY LOGISTICS SERVICES,NKD 8241,"Friday, January 10, 2025",395810,TANAY,2,dry,296418,"4,624",3-Feb-2025,1-Mar-2025
